word	percent	concreteness	count_head	count_occur
relaxing	3.0	12.97637	3	1
seen	2.935	3.66098	91	31
shown	2.857	2.87101	120	42
pictured	2.8	10.14498	14	5
kinds	2.8	15.34591	14	5
turned	2.667	11.60619	16	6
visible	2.667	12.03610	16	6
flown	2.6	73.74928	13	5
prepares	2.545	10.99121	28	11
gathered	2.538	7.88291	33	13
gathering	2.5	15.83908	5	2
snowboarding	2.5	40.92058	10	4
putting	2.429	9.30495	17	7
flock	2.4	31.64186	36	15
ready	2.395	4.73125	182	76
prepared	2.375	12.91985	19	8
served	2.375	16.57137	38	16
used	2.333	7.79058	21	9
makes	2.333	8.58292	14	6
pair	2.29	4.64014	142	62
stack	2.286	12.39653	16	7
kind	2.286	6.31064	16	7
herd	2.284	21.30441	153	67
placed	2.28	4.53766	57	25
group	2.268	2.86506	787	347
displayed	2.263	5.45086	43	19
hits	2.25	30.69534	9	4
appears	2.25	5.70358	18	8
machine	2.25	18.27077	18	8
waits	2.25	10.55946	9	4
uses	2.222	10.56452	20	9
eats	2.222	18.67611	20	9
make	2.2	7.01004	22	10
reads	2.2	14.05019	11	5
talks	2.2	18.94304	11	5
laid	2.2	30.04173	22	10
hangs	2.2	12.73670	11	5
runs	2.2	12.51682	11	5
do	2.2	10.41207	11	5
bunch	2.181	3.21770	181	83
look	2.179	2.83938	61	28
put	2.167	11.49764	13	6
lined	2.167	4.71247	39	18
passes	2.167	15.54479	13	6
jumps	2.167	14.34923	13	6
pose	2.167	11.70603	13	6
pass	2.167	11.78730	13	6
types	2.15	10.70117	43	20
lies	2.143	10.24923	15	7
gather	2.143	12.29332	15	7
watch	2.133	5.95359	32	15
pile	2.129	7.13070	66	31
pulled	2.125	14.67225	17	8
held	2.125	9.54438	34	16
goes	2.125	9.90324	17	8
lays	2.118	11.34834	36	17
drives	2.111	17.84781	19	9
says	2.111	14.24543	19	9
hold	2.111	7.35703	19	9
collection	2.111	15.91222	19	9
rides	2.105	9.54040	80	38
flies	2.105	24.66276	40	19
seated	2.1	9.19530	21	10
ride	2.1	8.98192	42	20
holds	2.092	3.13966	136	65
graze	2.091	29.03803	23	11
fly	2.077	24.23971	27	13
having	2.071	6.14909	29	14
stopped	2.067	16.92480	31	15
piece	2.067	6.39076	155	75
takes	2.067	6.57372	31	15
couple	2.064	1.76081	355	172
looks	2.058	2.29615	142	69
variety	2.056	11.48408	37	18
image	2.054	1.66182	152	74
stands	2.052	2.20208	199	97
perched	2.048	39.03554	43	21
sit	2.043	2.88833	141	69
number	2.042	3.45626	49	24
body	2.037	10.46810	110	54
walks	2.037	6.09108	55	27
sits	2.011	1.94306	360	179
touching	2.0	10.72475	26	13
cones	2.0	62.94157	2	1
curled	2.0	26.19146	18	9
travels	2.0	21.62354	14	7
includes	2.0	13.14304	18	9
skateboarding	2.0	25.53524	48	24
shows	2.0	3.78383	34	17
jetliner	2.0	69.80799	14	7
contains	2.0	9.61898	14	7
performs	2.0	28.08445	14	7
racing	2.0	33.89687	8	4
pulls	2.0	19.34211	12	6
objects	2.0	16.54571	6	3
rolls	2.0	19.22671	4	2
stuck	2.0	12.80257	6	3
piled	2.0	15.63299	4	2
throws	2.0	22.12763	4	2
coming	1.975	8.25171	79	40
hit	1.974	21.45555	75	38
guy	1.949	4.53427	76	39
rests	1.933	9.46160	29	15
throw	1.933	29.73751	29	15
walk	1.917	5.21173	69	36
watches	1.917	6.08665	23	12
see	1.909	5.68063	21	11
slice	1.903	18.92098	59	31
leaning	1.9	4.92286	38	20
swings	1.9	26.74368	19	10
assortment	1.9	14.97768	19	10
smiles	1.895	7.84483	36	19
photo	1.889	3.12732	204	108
take	1.889	9.38012	17	9
poses	1.889	8.18011	17	9
plays	1.889	9.09938	17	9
parked	1.877	8.11621	366	195
cut	1.862	11.11160	54	29
tied	1.857	21.30445	13	7
photograph	1.853	5.39621	63	34
painting	1.846	9.62026	24	13
set	1.843	4.00516	94	51
crowd	1.833	9.44064	66	36
giving	1.833	10.82351	11	6
edge	1.828	6.20729	53	29
scene	1.815	4.97333	49	27
has	1.81	1.93597	429	237
go	1.81	7.13050	38	21
features	1.8	10.31717	9	5
trying	1.8	5.85030	36	20
get	1.8	7.04450	18	10
slices	1.794	17.73306	61	34
picture	1.789	1.77739	288	161
lying	1.786	7.71677	75	42
view	1.781	3.08979	171	96
row	1.78	5.80681	73	41
catch	1.778	23.23429	32	18
van	1.778	20.03056	16	9
bite	1.769	40.89617	23	13
stand	1.765	3.25403	143	81
moving	1.762	7.51219	37	21
brushing	1.76	86.83768	44	25
person	1.756	2.12739	711	405
lady	1.755	3.97926	86	49
use	1.75	9.06578	21	12
carrying	1.75	6.99061	63	36
middle	1.75	2.43270	119	68
moves	1.75	14.40424	7	4
loading	1.75	24.07865	7	4
laying	1.745	6.43244	253	145
man	1.738	2.20510	1825	1050
vase	1.737	45.25966	172	99
boy	1.734	4.67959	430	248
statue	1.733	9.92953	26	15
eat	1.727	8.30282	38	22
does	1.727	15.72709	19	11
displaying	1.727	10.80603	19	11
sign	1.716	14.85157	326	190
enjoying	1.714	7.42396	24	14
climbing	1.714	16.19281	12	7
making	1.706	6.14298	29	17
reflection	1.706	15.10099	29	17
stacked	1.688	10.92086	27	16
cup	1.687	15.52516	113	67
bottle	1.679	11.17539	47	28
doing	1.676	15.00935	62	37
lid	1.667	59.68552	20	12
practicing	1.667	17.03899	5	3
pitcher	1.667	49.08260	35	21
arranged	1.667	11.52634	20	12
floating	1.667	31.17262	20	12
selling	1.667	54.74025	5	3
decorated	1.667	7.77598	50	30
rolling	1.667	11.53255	5	3
mound	1.667	77.66521	10	6
growing	1.667	70.03456	10	6
faces	1.667	16.32988	5	3
woman	1.663	2.87223	875	526
airplane	1.651	33.13236	137	83
posing	1.638	7.14018	77	47
waiting	1.636	5.53350	54	33
bowl	1.635	12.19955	206	126
play	1.633	8.32997	49	30
pieces	1.629	9.05813	57	35
pick	1.625	34.84736	13	8
leans	1.625	9.60302	13	8
docked	1.625	86.70044	13	8
holder	1.625	17.83307	13	8
driving	1.615	14.43560	84	52
surfer	1.615	42.41608	42	26
plate	1.609	10.58410	581	361
pot	1.607	18.80637	45	28
taking	1.606	4.20430	106	66
hotdogs	1.6	64.37429	8	5
platter	1.6	22.96653	16	10
sticks	1.6	11.12815	8	5
clothes	1.6	9.41378	8	5
officer	1.6	69.77442	8	5
bird	1.594	22.47095	153	96
swing	1.593	23.06597	43	27
lit	1.591	9.81938	35	22
swinging	1.588	23.16857	54	34
bedroom	1.587	38.38850	73	46
player	1.586	18.25265	230	145
jumping	1.585	12.69677	65	41
girl	1.583	3.92468	277	175
case	1.579	13.84820	30	19
walking	1.579	4.24860	360	228
going	1.571	5.73020	66	42
hydrant	1.568	30.38726	127	81
standing	1.567	1.98244	1089	695
pan	1.567	24.91550	47	30
skiing	1.564	30.41452	86	55
girls	1.562	8.41480	25	16
plane	1.558	31.97335	134	86
lot	1.557	3.85178	109	70
doughnut	1.556	31.35505	14	9
heads	1.556	13.71181	14	9
purse	1.556	50.34469	14	9
meter	1.552	83.75965	45	29
dressed	1.552	7.75186	45	29
shot	1.55	4.05923	31	20
playing	1.547	6.83786	345	223
closeup	1.545	11.82596	34	22
sculpture	1.545	12.97532	17	11
airliner	1.545	90.49950	17	11
dog	1.54	8.55873	445	289
resting	1.538	5.23968	40	26
pants	1.538	9.55035	20	13
restroom	1.538	32.54887	20	13
intersection	1.533	23.22646	46	30
show	1.533	9.04478	23	15
working	1.529	14.65013	26	17
facing	1.529	6.74276	26	17
swimming	1.529	34.89748	26	17
skier	1.529	30.65403	52	34
serve	1.529	34.46069	26	17
signs	1.528	26.88060	55	36
plates	1.528	18.52893	55	36
elephant	1.527	47.14563	171	112
drinking	1.526	11.27862	29	19
hotdog	1.526	77.13205	29	19
meal	1.52	14.63670	38	25
cat	1.519	17.75538	433	285
pulling	1.516	17.39282	47	31
line	1.515	3.88073	50	33
corner	1.51	7.04372	77	51
sitting	1.506	1.62604	1393	925
kitten	1.5	33.34035	18	12
made	1.5	8.54816	66	44
meters	1.5	108.69048	9	6
box	1.5	8.22959	66	44
signal	1.5	48.05292	9	6
dock	1.5	56.47433	6	4
eating	1.5	8.13694	189	126
lines	1.5	18.27238	9	6
patio	1.5	25.75272	9	6
roll	1.5	20.92507	9	6
dishes	1.5	21.32402	9	6
container	1.5	14.40321	21	14
images	1.5	16.48294	6	4
freezer	1.5	72.03149	3	2
pointing	1.5	12.61237	6	4
blowing	1.5	43.86837	15	10
hole	1.5	37.93613	15	10
bunches	1.5	120.30566	12	8
posted	1.5	28.75693	3	2
approaching	1.5	11.57391	3	2
block	1.5	12.53245	6	4
tower	1.492	48.49527	88	59
dish	1.486	15.15116	55	37
eaten	1.48	14.12975	37	25
flying	1.479	14.66289	287	194
sandwich	1.478	31.20556	133	90
surfing	1.476	45.67980	31	21
cow	1.471	34.66015	100	68
side	1.469	2.21837	304	207
bears	1.463	48.16206	60	41
truck	1.46	23.63595	184	126
reaching	1.455	9.54578	32	22
preparing	1.455	10.85588	32	22
performing	1.455	18.21268	16	11
holding	1.445	2.56770	757	524
mug	1.444	31.63407	13	9
child	1.442	5.55055	199	138
monitor	1.438	53.26407	23	16
surrounded	1.429	3.59910	50	35
setting	1.429	3.60536	30	21
doll	1.429	23.64759	10	7
beverage	1.429	19.42814	10	7
bear	1.427	25.45707	224	157
have	1.423	3.04264	37	26
cart	1.423	21.29522	37	26
riding	1.419	5.99499	430	303
about	1.413	4.16359	65	46
throwing	1.412	22.61439	24	17
place	1.412	8.41527	24	17
kid	1.407	6.00399	38	27
skateboarder	1.406	27.16249	45	32
petting	1.4	31.05768	7	5
fork	1.4	22.03717	49	35
snowboarder	1.4	40.47400	21	15
structure	1.4	10.28349	7	5
aircraft	1.4	38.31213	7	5
harbor	1.4	104.75273	7	5
pushing	1.4	18.23799	7	5
siting	1.4	9.58385	7	5
bottom	1.4	9.73927	21	15
skateboarders	1.4	28.86142	7	5
baskets	1.4	43.18573	7	5
room	1.396	7.13591	416	298
lights	1.394	16.62668	46	33
giraffe	1.39	39.12977	246	177
object	1.385	6.90328	18	13
showing	1.385	3.97602	36	26
end	1.381	4.89987	29	21
area	1.379	2.45942	233	169
sinks	1.375	44.56832	44	32
island	1.375	58.94846	11	8
turn	1.375	13.09242	11	8
rug	1.375	17.94763	11	8
flight	1.375	26.52461	11	8
bending	1.375	15.80352	11	8
bus	1.372	24.71321	273	199
tray	1.368	12.47731	52	38
batter	1.367	50.36931	41	30
shelf	1.367	11.55948	41	30
opened	1.364	13.51496	15	11
controller	1.364	30.57222	30	22
bench	1.359	12.35171	193	142
bridge	1.357	23.08850	19	14
stick	1.357	13.09574	19	14
trail	1.357	19.23370	19	14
boards	1.357	13.36139	19	14
jump	1.353	20.46021	23	17
sticking	1.35	7.62012	27	20
using	1.348	6.46633	89	66
women	1.347	4.73329	66	49
looking	1.345	1.86318	300	223
hanging	1.34	5.44320	71	53
sides	1.333	11.45765	12	9
wagon	1.333	86.03735	4	3
rest	1.333	8.70333	20	15
trunk	1.333	36.30079	32	24
event	1.333	10.61399	8	6
plant	1.333	19.27667	20	15
walls	1.333	13.76313	40	30
tent	1.333	18.00983	4	3
ear	1.333	21.07617	8	6
roses	1.333	81.40711	4	3
type	1.333	5.88079	12	9
vases	1.333	47.83925	12	9
kneeling	1.333	9.63944	8	6
sports	1.333	13.47061	4	3
rackets	1.333	50.12381	4	3
towels	1.333	30.90056	4	3
dogs	1.329	15.92969	93	70
traveling	1.326	14.48888	57	43
talking	1.326	9.28968	57	43
cooking	1.318	23.49537	29	22
couch	1.314	16.59171	134	102
boxes	1.312	14.07554	21	16
spoon	1.312	21.41027	21	16
floors	1.308	24.15988	17	13
players	1.306	21.09792	47	36
toilet	1.3	30.96973	325	250
catching	1.3	19.75088	13	10
boat	1.298	28.36761	122	94
desk	1.296	22.19076	149	115
rack	1.294	10.22409	22	17
bathroom	1.29	23.00983	436	338
fashioned	1.286	11.35431	9	7
eyes	1.286	15.34152	18	14
attached	1.286	6.29835	36	28
range	1.286	41.95877	9	7
sailing	1.286	56.63031	9	7
attempting	1.286	11.10724	9	7
tops	1.286	29.92135	9	7
