word	percent	concreteness	count_root	count_occur
pictured	1.0	10.14498	5	5
travels	1.0	21.62354	7	7
shows	1.0	3.78383	17	17
gather	1.0	12.29332	7	7
contains	1.0	9.61898	7	7
performs	1.0	28.08445	7	7
pulls	1.0	19.34211	6	6
jumps	1.0	14.34923	6	6
pose	1.0	11.70603	6	6
relaxing	1.0	12.97637	1	1
hangs	1.0	12.73670	5	5
stuck	1.0	12.80257	3	3
throws	1.0	22.12763	2	2
sits	0.961	1.94306	172	179
shown	0.952	2.87101	40	42
lays	0.941	11.34834	16	17
takes	0.933	6.57372	14	15
stands	0.928	2.20208	90	97
rides	0.921	9.54040	35	38
sit	0.899	2.88833	62	69
smiles	0.895	7.84483	17	19
flies	0.895	24.66276	17	19
drives	0.889	17.84781	8	9
poses	0.889	8.18011	8	9
eats	0.889	18.67611	8	9
goes	0.875	9.90324	7	8
jetliner	0.857	69.80799	6	7
holds	0.846	3.13966	55	65
gathered	0.846	7.88291	11	13
does	0.818	15.72709	9	11
walks	0.815	6.09108	22	27
seen	0.806	3.66098	25	31
features	0.8	10.31717	4	5
rests	0.8	9.46160	12	15
runs	0.8	12.51682	4	5
lined	0.778	4.71247	14	18
plays	0.778	9.09938	7	9
closeup	0.773	11.82596	17	22
painting	0.769	9.62026	10	13
photograph	0.765	5.39621	26	34
image	0.757	1.66182	56	74
hits	0.75	30.69534	3	4
leans	0.75	9.60302	6	8
served	0.75	16.57137	12	16
waits	0.75	10.55946	3	4
displayed	0.737	5.45086	14	19
stopped	0.733	16.92480	11	15
flock	0.733	31.64186	11	15
looks	0.725	2.29615	50	69
view	0.719	3.08979	69	96
perched	0.714	39.03554	15	21
lies	0.714	10.24923	5	7
putting	0.714	9.30495	5	7
parked	0.703	8.11621	137	195
laid	0.7	30.04173	7	10
photo	0.685	3.12732	74	108
curled	0.667	26.19146	6	9
passes	0.667	15.54479	4	6
uses	0.667	10.56452	6	9
turned	0.667	11.60619	4	6
makes	0.667	8.58292	4	6
objects	0.667	16.54571	2	3
hold	0.667	7.35703	6	9
visible	0.667	12.03610	4	6
sports	0.667	13.47061	2	3
collection	0.667	15.91222	6	9
lady	0.653	3.97926	32	49
ride	0.65	8.98192	13	20
group	0.648	2.86506	225	347
graze	0.636	29.03803	7	11
scene	0.63	4.97333	17	27
couple	0.628	1.76081	108	172
herd	0.627	21.30441	42	67
pulled	0.625	14.67225	5	8
prepared	0.625	12.91985	5	8
docked	0.625	86.70044	5	8
shot	0.6	4.05923	12	20
officer	0.6	69.77442	3	5
stand	0.593	3.25403	48	81
skateboarding	0.583	25.53524	14	24
person	0.583	2.12739	236	405
tied	0.571	21.30445	4	7
stacked	0.562	10.92086	9	16
placed	0.56	4.53766	14	25
meter	0.552	83.75965	16	29
number	0.542	3.45626	13	24
fly	0.538	24.23971	7	13
moving	0.524	7.51219	11	21
bedroom	0.522	38.38850	24	46
man	0.519	2.20510	545	1050
hydrant	0.519	30.38726	42	81
pile	0.516	7.13070	16	31
guy	0.513	4.53427	20	39
